ContactID Source,ContactID Match,Accuracy,Score
451,951,High,1.000
455,955,High,1.000
457,957,High,1.000
459,959,High,1.000
462,962,High,1.000
463,963,High,1.000
466,966,High,1.000
469,969,High,1.000
472,972,High,1.000
473,973,High,1.000
475,975,High,1.000
476,976,High,1.000
477,977,High,1.000
479,979,High,1.000
482,982,High,1.000
483,983,High,1.000
485,985,High,1.000
487,987,High,1.000
489,989,High,1.000
492,992,High,1.000
496,996,High,1.000
8,508,High,0.940
9,509,High,0.940
10,510,High,0.940
17,517,High,0.940
20,520,High,0.940
22,522,High,0.940
24,524,High,0.940
28,528,High,0.940
29,529,High,0.940
31,531,High,0.940
32,532,High,0.940
33,533,High,0.940
39,539,High,0.940
40,540,High,0.940
41,541,High,0.940
45,545,High,0.940
46,546,High,0.940
48,548,High,0.940
57,557,High,0.940
59,559,High,0.940
62,562,High,0.940
63,563,High,0.940
65,565,High,0.940
66,566,High,0.940
73,573,High,0.940
76,576,High,0.940
77,577,High,0.940
78,578,High,0.940
79,579,High,0.940
80,580,High,0.940
82,582,High,0.940
85,585,High,0.940
86,586,High,0.940
89,589,High,0.940
90,590,High,0.940
94,594,High,0.940
95,595,High,0.940
96,596,High,0.940
97,597,High,0.940
98,598,High,0.940
450,950,High,0.934
452,952,High,0.934
453,953,High,0.934
454,954,High,0.934
456,956,High,0.934
458,958,High,0.934
460,960,High,0.934
461,961,High,0.934
464,964,High,0.934
465,965,High,0.934
467,967,High,0.934
468,968,High,0.934
470,970,High,0.934
471,971,High,0.934
474,974,High,0.934
478,978,High,0.934
480,980,High,0.934
481,981,High,0.934
484,984,High,0.934
486,986,High,0.934
488,988,High,0.934
490,990,High,0.934
491,991,High,0.934
493,993,High,0.934
494,994,High,0.934
495,995,High,0.934
497,997,High,0.934
498,998,High,0.934
499,999,High,0.934
500,1000,High,0.934
101,601,High,0.920
103,603,High,0.920
104,604,High,0.920
105,605,High,0.920
106,606,High,0.920
107,607,High,0.920
110,610,High,0.920
111,611,High,0.920
112,612,High,0.920
114,614,High,0.920
116,616,High,0.920
118,618,High,0.920
119,619,High,0.920
120,620,High,0.920
121,621,High,0.920
124,624,High,0.920
125,625,High,0.920
126,626,High,0.920
127,627,High,0.920
129,629,High,0.920
131,631,High,0.920
135,635,High,0.920
139,639,High,0.920
146,646,High,0.920
153,653,High,0.920
154,654,High,0.920
155,655,High,0.920
156,656,High,0.920
158,658,High,0.920
159,659,High,0.920
161,661,High,0.920
163,663,High,0.920
164,664,High,0.920
166,666,High,0.920
167,667,High,0.920
169,669,High,0.920
170,670,High,0.920
173,673,High,0.920
176,676,High,0.920
179,679,High,0.920
184,684,High,0.920
189,689,High,0.920
192,692,High,0.920
193,693,High,0.920
194,694,High,0.920
195,695,High,0.920
198,698,High,0.920
1,501,High,0.887
2,502,High,0.887
3,503,High,0.887
4,504,High,0.887
5,505,High,0.887
6,506,High,0.887
7,507,High,0.887
11,511,High,0.887
12,512,High,0.887
13,513,High,0.887
14,514,High,0.887
15,515,High,0.887
16,516,High,0.887
18,518,High,0.887
19,519,High,0.887
21,521,High,0.887
23,523,High,0.887
25,525,High,0.887
26,526,High,0.887
27,527,High,0.887
30,530,High,0.887
34,534,High,0.887
35,535,High,0.887
36,536,High,0.887
37,537,High,0.887
38,538,High,0.887
42,542,High,0.887
43,543,High,0.887
44,544,High,0.887
47,547,High,0.887
49,549,High,0.887
50,550,High,0.887
51,551,High,0.887
52,552,High,0.887
53,553,High,0.887
54,554,High,0.887
55,555,High,0.887
56,556,High,0.887
58,558,High,0.887
60,560,High,0.887
61,561,High,0.887
64,564,High,0.887
67,567,High,0.887
68,568,High,0.887
69,569,High,0.887
70,570,High,0.887
71,571,High,0.887
72,572,High,0.887
74,574,High,0.887
75,575,High,0.887
81,581,High,0.887
83,583,High,0.887
84,584,High,0.887
87,587,High,0.887
88,588,High,0.887
91,591,High,0.887
92,592,High,0.887
93,593,High,0.887
99,599,High,0.887
100,600,High,0.867
102,602,High,0.867
108,608,High,0.867
109,609,High,0.867
113,613,High,0.867
115,615,High,0.867
117,617,High,0.867
122,622,High,0.867
123,623,High,0.867
128,628,High,0.867
130,630,High,0.867
132,632,High,0.867
133,633,High,0.867
134,634,High,0.867
136,636,High,0.867
137,637,High,0.867
138,638,High,0.867
140,640,High,0.867
141,641,High,0.867
142,642,High,0.867
143,643,High,0.867
144,644,High,0.867
145,645,High,0.867
147,647,High,0.867
148,648,High,0.867
149,649,High,0.867
150,650,High,0.867
151,651,High,0.867
152,652,High,0.867
157,657,High,0.867
160,660,High,0.867
162,662,High,0.867
165,665,High,0.867
168,668,High,0.867
171,671,High,0.867
172,672,High,0.867
174,674,High,0.867
175,675,High,0.867
177,677,High,0.867
178,678,High,0.867
180,680,High,0.867
181,681,High,0.867
182,682,High,0.867
183,683,High,0.867
185,685,High,0.867
186,686,High,0.867
187,687,High,0.867
188,688,High,0.867
190,690,High,0.867
191,691,High,0.867
196,696,High,0.867
197,697,High,0.867
199,699,High,0.867
203,703,High,0.860
208,708,High,0.860
209,709,High,0.860
210,710,High,0.860
212,712,High,0.860
213,713,High,0.860
214,714,High,0.860
217,717,High,0.860
218,718,High,0.860
221,721,High,0.860
223,723,High,0.860
224,724,High,0.860
225,725,High,0.860
227,727,High,0.860
231,731,High,0.860
232,732,High,0.860
235,735,High,0.860
237,737,High,0.860
239,739,High,0.860
242,742,High,0.860
246,746,High,0.860
247,747,High,0.860
248,748,High,0.860
250,750,High,0.860
253,753,High,0.860
258,758,High,0.860
259,759,High,0.860
260,760,High,0.860
262,762,High,0.860
263,763,High,0.860
265,765,High,0.860
267,767,High,0.860
270,770,High,0.860
275,775,High,0.860
278,778,High,0.860
281,781,High,0.860
282,782,High,0.860
286,786,High,0.860
287,787,High,0.860
289,789,High,0.860
290,790,High,0.860
291,791,High,0.860
293,793,High,0.860
295,795,High,0.860
299,799,High,0.860
303,803,High,0.860
304,804,High,0.860
305,805,High,0.860
308,808,High,0.860
316,816,High,0.860
319,819,High,0.860
323,823,High,0.860
330,830,High,0.860
331,831,High,0.860
334,834,High,0.860
340,840,High,0.860
341,841,High,0.860
342,842,High,0.860
343,843,High,0.860
345,845,High,0.860
